QueryID,KnessetNum,FactionID,FactionName,CoalitionStatus
2234822,25,1103.0,"חד""ש-תע""ל",
2234821,25,1103.0,"חד""ש-תע""ל",
2234820,25,1103.0,"חד""ש-תע""ל",
2234818,25,1103.0,"חד""ש-תע""ל",
2234816,25,1103.0,"חד""ש-תע""ל",
2234815,25,1103.0,"חד""ש-תע""ל",
2234812,25,1103.0,"חד""ש-תע""ל",
2234811,25,1103.0,"חד""ש-תע""ל",
2234810,25,1103.0,"חד""ש-תע""ל",
2234809,25,1103.0,"חד""ש-תע""ל",
2234808,25,1103.0,"חד""ש-תע""ל",
2234807,25,1103.0,"חד""ש-תע""ל",
2234806,25,1103.0,"חד""ש-תע""ל",
2234805,25,1103.0,"חד""ש-תע""ל",
2234798,25,1103.0,"חד""ש-תע""ל",
2234785,25,,,
2234729,25,1103.0,"חד""ש-תע""ל",
2234728,25,1103.0,"חד""ש-תע""ל",
2234666,25,1103.0,"חד""ש-תע""ל",
2234649,25,,,
2234637,25,,,
2234620,25,,,
2234541,25,1100.0,העבודה,
2234534,25,1100.0,העבודה,
2234532,25,1100.0,העבודה,
2234531,25,1100.0,העבודה,
2234527,25,1103.0,"חד""ש-תע""ל",
2234526,25,1103.0,"חד""ש-תע""ל",
2234525,25,1103.0,"חד""ש-תע""ל",
2234415,25,1100.0,העבודה,
2234414,25,1100.0,העבודה,
2234412,25,1100.0,העבודה,
2234411,25,1100.0,העבודה,
2234410,25,1100.0,העבודה,
2234409,25,1100.0,העבודה,
2234408,25,1100.0,העבודה,
2234407,25,1100.0,העבודה,
2234406,25,1100.0,העבודה,
2234405,25,1100.0,העבודה,
2234383,25,1100.0,העבודה,
2234382,25,1100.0,העבודה,
2234380,25,1100.0,העבודה,
2234379,25,1100.0,העבודה,
2234378,25,1100.0,העבודה,
2234376,25,1100.0,העבודה,
2234375,25,1100.0,העבודה,
2234367,25,1100.0,העבודה,
2234366,25,1100.0,העבודה,
2234365,25,1100.0,העבודה,
2234364,25,1100.0,העבודה,
2234360,25,1100.0,העבודה,
